track_id,timestamp,x_bev,y_bev,cam_id
7,2025-05-11T14:32:36.614727,28.87387452708655,93.89639651762197,3
1,2025-05-11T14:32:37.200474,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:37.200559,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:37.200581,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:37.200600,33.2961149577162,93.0995981381308,3
5,2025-05-11T14:32:37.200619,30.745063476385766,93.55924607410546,3
7,2025-05-11T14:32:37.200639,28.87387452708655,93.89639651762197,3
1,2025-05-11T14:32:37.767081,31.44329960373999,93.43343803098674,3
2,2025-05-11T14:32:37.767166,34.906501054050366,92.80943909950714,3
3,2025-05-11T14:32:37.767188,34.44741594206644,92.89215696141798,3
4,2025-05-11T14:32:37.767210,33.2961149577162,93.0995981381308,3
